year;gender;study_level;major;ai_usage_frequency;primary_ai_use;academic_integrity_training;study_hours_week;ai_hours_week;attendance_rate;assignment_completion_rate;exam_score;gpa
2023;male;undergraduate;computer science;rarely;studying/flashcards;yes;21.9;0.6;76.7;80.8;95.9;4.0
2024;female;undergraduate;health sciences;weekly;research/reading;no;16.8;5.4;83.7;82.1;78.8;3.42
2025;male;undergraduate;social sciences;weekly;research/reading;yes;16.2;1.4;76.3;82.9;91.9;4.0
2024;male;undergraduate;social sciences;daily;other;no;19.9;6.5;79.3;86.4;95.0;3.88
2025;male;masters;education;weekly;coding help;yes;14.6;2.8;94.7;87.7;80.2;3.46
2023;female;undergraduate;arts humanities;daily;translation;yes;17.1;5.4;89.3;89.0;94.5;4.0
2024;female;undergraduate;business;rarely;other;no;14.2;2.2;89.7;98.2;81.3;3.97
2023;female;undergraduate;business;weekly;studying/flashcards;no;22.0;7.8;80.3;77.3;94.5;4.0
2024;female;undergraduate;health sciences;daily;concept explanation;yes;21.4;6.5;91.8;78.6;83.2;3.69
2023;male;phd;business;daily;research/reading;yes;18.89;3.2;100.0;98.4;100.0;4.0
2024;female;undergraduate;engineering;daily;writing support;yes;16.5;6.5;77.6;87.9;84.5;3.84
2024;female;masters;computer science;weekly;research/reading;no;23.8;4.0;85.6;96.4;92.8;4.0
2024;male;phd;social sciences;daily;research/reading;yes;34.6;9.1;87.3;98.8;99.4;4.0
2025;female;undergraduate;education;daily;research/reading;no;5.7;6.8;93.3;85.0;71.9;3.25
2024;female;undergraduate;computer science;daily;writing support;yes;19.6;8.0;99.1;84.1;74.8;3.44
2024;male;undergraduate;health sciences;rarely;studying/flashcards;no;10.8;0.0;91.0;80.0;86.0;3.67
2024;female;masters;business;weekly;translation;yes;20.4;0.5;92.0;93.0;81.9;3.77
2024;male;undergraduate;social sciences;daily;coding help;yes;18.6;6.9;83.7;89.3;85.5;3.67
2025;female;masters;engineering;daily;concept explanation;yes;14.9;8.8;85.7;78.7;86.9;3.7
2025;female;masters;engineering;daily;research/reading;yes;6.1;7.1;92.1;84.0;95.7;3.93
2023;female;undergraduate;engineering;weekly;concept explanation;yes;8.3;8.0;83.1;84.7;69.0;3.32
2024;female;undergraduate;computer science;daily;studying/flashcards;yes;22.5;3.1;85.2;76.8;86.9;3.76
2023;female;undergraduate;computer science;weekly;studying/flashcards;no;24.3;3.8;88.5;86.8;92.4;3.85
2024;female;undergraduate;social sciences;weekly;concept explanation;no;21.0;5.2;79.5;77.7;92.3;3.82
2024;male;undergraduate;computer science;weekly;studying/flashcards;yes;15.7;5.8;100.0;95.3;85.7;3.79
2023;male;phd;health sciences;rarely;writing support;no;26.6;2.4;72.9;70.0;95.0;3.75
2023;female;undergraduate;engineering;daily;studying/flashcards;no;9.2;8.0;88.5;80.1;67.8;3.11
2023;nonbinary/other;undergraduate;health sciences;weekly;coding help;yes;12.9;1.7;80.9;89.3;75.1;3.48
2025;female;undergraduate;health sciences;daily;writing support;no;7.1;5.9;81.9;75.2;87.66;2.99
2025;male;undergraduate;education;weekly;concept explanation;no;21.1;1.5;95.7;89.9;100.0;3.99
2025;male;undergraduate;business;weekly;studying/flashcards;yes;16.9;4.7;92.3;85.9;96.3;4.0
2024;female;masters;health sciences;daily;research/reading;yes;19.2;5.3;100.0;91.4;87.5;4.0
2025;female;masters;computer science;daily;writing support;yes;24.8;7.9;88.2;79.7;98.2;4.0
2023;female;undergraduate;business;weekly;research/reading;yes;21.1;2.7;93.6;86.1;80.6;3.64
2025;female;undergraduate;health sciences;weekly;writing support;no;5.7;4.9;80.6;79.3;72.0;3.35
2024;female;undergraduate;arts humanities;daily;studying/flashcards;yes;20.1;7.1;77.6;87.4;91.2;3.95
2024;nonbinary/other;undergraduate;business;never;writing support;yes;26.8;0.4;79.5;100.0;91.9;4.0
2024;male;undergraduate;business;daily;translation;yes;20.4;9.6;82.0;89.3;94.1;3.89
2025;female;masters;computer science;weekly;writing support;yes;14.7;3.6;93.3;70.6;85.2;3.66
2023;male;undergraduate;health sciences;weekly;research/reading;no;12.1;5.3;88.9;82.7;79.4;3.67
2025;male;undergraduate;business;daily;concept explanation;no;18.89;5.8;88.4;70.2;63.9;3.0
2024;female;undergraduate;social sciences;never;studying/flashcards;yes;16.9;0.8;80.8;80.7;76.5;3.53
2023;female;undergraduate;computer science;weekly;translation;yes;12.8;4.5;88.8;85.1;73.0;3.45
2024;male;undergraduate;health sciences;weekly;concept explanation;yes;26.7;4.7;89.7;74.8;99.4;4.0
2025;female;undergraduate;arts humanities;daily;research/reading;yes;26.0;6.8;85.9;93.8;100.0;4.0
2025;male;undergraduate;engineering;weekly;concept explanation;yes;12.9;5.6;93.1;71.8;88.5;3.91
2023;male;undergraduate;health sciences;never;studying/flashcards;no;9.3;1.5;93.8;87.9;81.5;3.58
2023;male;undergraduate;health sciences;daily;other;yes;13.2;8.1;80.2;69.0;76.1;3.23
2025;male;masters;business;weekly;writing support;no;19.8;4.6;90.7;93.0;98.8;4.0
2023;female;undergraduate;education;weekly;translation;yes;26.1;2.0;93.9;100.0;100.0;4.0
2025;male;undergraduate;engineering;daily;writing support;no;24.1;9.2;83.7;95.4;100.0;4.0
2024;female;undergraduate;business;weekly;coding help;yes;15.9;4.6;89.0;83.3;93.1;3.91
2023;male;undergraduate;social sciences;rarely;research/reading;no;23.4;0.7;100.0;100.0;93.6;4.0
2025;male;undergraduate;engineering;weekly;studying/flashcards;no;19.9;0.0;70.4;71.9;68.9;3.12
2023;female;masters;health sciences;weekly;writing support;no;27.6;1.9;86.2;88.3;100.0;3.97
2024;female;undergraduate;computer science;daily;concept explanation;yes;29.1;8.5;81.9;94.0;100.0;3.94
2023;female;undergraduate;engineering;weekly;concept explanation;yes;20.9;1.4;93.4;94.6;86.6;3.8
2023;male;undergraduate;social sciences;weekly;concept explanation;yes;12.7;3.9;93.9;67.1;69.3;3.2
2024;male;undergraduate;health sciences;weekly;writing support;yes;14.6;3.0;77.7;100.0;76.3;3.56
2025;female;undergraduate;engineering;daily;coding help;yes;19.6;6.7;91.3;88.2;92.7;4.0
2023;male;masters;arts humanities;weekly;concept explanation;no;21.2;4.1;87.1;88.6;88.4;3.9
2023;male;masters;engineering;weekly;coding help;yes;32.2;2.7;97.5;86.2;100.0;4.0
2024;female;undergraduate;engineering;weekly;coding help;yes;26.8;6.8;83.4;94.4;98.2;4.0
2025;male;undergraduate;arts humanities;daily;studying/flashcards;yes;14.3;7.5;85.1;81.9;96.2;3.96
2024;male;undergraduate;business;weekly;concept explanation;yes;8.8;4.9;92.8;71.0;67.9;3.09
2025;female;masters;engineering;daily;research/reading;yes;21.3;8.8;82.6;92.2;91.2;3.97
2024;female;undergraduate;arts humanities;weekly;studying/flashcards;yes;18.8;1.8;96.5;93.9;85.4;3.84
2024;male;masters;social sciences;never;translation;yes;33.4;0.0;95.6;100.0;100.0;4.0
2023;female;undergraduate;business;never;coding help;yes;19.8;1.2;76.8;90.3;76.3;3.45
2025;female;undergraduate;social sciences;daily;concept explanation;no;13.0;6.6;77.1;66.9;87.66;3.74
2024;female;undergraduate;health sciences;weekly;studying/flashcards;yes;28.6;4.7;79.9;78.3;87.7;3.56
2023;male;undergraduate;business;weekly;writing support;no;18.2;5.8;77.3;84.6;73.2;3.34
2023;female;undergraduate;health sciences;daily;research/reading;no;20.2;9.0;90.3;98.7;92.7;3.9
2024;male;undergraduate;arts humanities;weekly;translation;yes;16.6;4.0;93.5;84.8;90.8;3.86
2025;male;undergraduate;arts humanities;weekly;studying/flashcards;yes;25.4;3.2;83.9;82.9;94.0;3.91
2025;female;masters;business;weekly;coding help;no;31.9;4.6;87.0;75.1;100.0;4.0
2023;male;undergraduate;health sciences;weekly;writing support;yes;14.1;4.2;82.7;100.0;83.0;3.87
2023;female;undergraduate;computer science;daily;writing support;yes;14.3;7.6;82.4;93.3;79.0;3.55
2024;male;masters;arts humanities;weekly;writing support;yes;23.8;5.5;92.0;90.9;95.8;3.89
2025;male;phd;arts humanities;daily;research/reading;yes;19.7;5.5;100.0;81.1;100.0;4.0
2025;male;masters;computer science;daily;translation;no;17.4;5.9;83.5;66.9;88.9;3.71
2024;male;masters;engineering;daily;writing support;yes;26.7;5.7;88.8;94.8;94.0;4.0
2024;female;undergraduate;computer science;weekly;concept explanation;no;27.0;4.0;80.4;81.9;96.4;4.0
2025;male;undergraduate;computer science;daily;writing support;no;14.4;6.0;93.3;89.6;89.3;4.0
2023;female;undergraduate;business;daily;writing support;yes;21.8;8.1;84.2;90.4;84.8;3.81
2025;female;undergraduate;business;daily;concept explanation;yes;18.3;7.1;86.1;88.0;85.3;3.6
2023;female;undergraduate;business;daily;concept explanation;no;15.3;4.3;74.0;68.6;82.8;3.62
2023;female;undergraduate;business;daily;coding help;no;9.9;10.4;77.1;80.0;68.5;3.35
2024;female;masters;engineering;weekly;concept explanation;yes;26.5;3.7;90.3;82.8;87.7;3.74
2023;male;masters;social sciences;daily;writing support;yes;27.4;4.3;88.6;100.0;87.8;3.64
2024;male;undergraduate;social sciences;weekly;writing support;yes;27.9;3.1;82.8;78.6;88.0;3.9
2025;female;undergraduate;computer science;weekly;research/reading;yes;11.4;3.3;75.9;69.8;69.2;3.4
2024;female;undergraduate;business;weekly;research/reading;yes;20.8;5.1;86.7;78.0;82.9;3.64
2023;female;undergraduate;education;daily;writing support;no;19.6;4.9;78.7;89.5;87.8;3.77
2024;male;masters;social sciences;daily;concept explanation;yes;25.1;6.6;98.0;83.0;100.0;4.0
2024;female;undergraduate;engineering;weekly;research/reading;yes;22.1;4.0;84.5;85.0;99.8;4.0
2023;male;undergraduate;business;rarely;concept explanation;yes;8.5;2.1;78.8;72.1;66.7;3.19
2023;male;undergraduate;engineering;daily;coding help;yes;9.5;6.1;93.0;87.2;76.9;3.6
2024;male;masters;engineering;daily;writing support;yes;23.4;7.3;96.8;86.5;85.2;3.75
2024;male;undergraduate;business;weekly;writing support;yes;14.6;4.8;90.4;88.6;89.5;3.95
2025;female;undergraduate;computer science;daily;coding help;no;15.6;7.1;83.9;86.8;86.9;3.89
2025;female;undergraduate;social sciences;daily;concept explanation;yes;12.0;6.6;92.8;88.2;82.3;3.71
2024;male;undergraduate;computer science;daily;writing support;no;25.2;6.0;80.9;69.0;85.8;3.48
2025;female;undergraduate;arts humanities;weekly;concept explanation;yes;16.1;1.6;98.5;88.1;85.1;3.92
2024;female;undergraduate;health sciences;weekly;concept explanation;no;21.5;1.9;95.7;80.2;99.0;3.83
2023;male;undergraduate;business;weekly;writing support;yes;16.6;3.3;93.7;85.3;88.4;3.73
2023;male;masters;business;weekly;research/reading;yes;20.6;3.5;87.9;88.4;97.5;3.95
2024;male;undergraduate;engineering;weekly;coding help;no;15.8;2.8;81.7;82.6;89.5;4.0
2023;female;undergraduate;health sciences;daily;studying/flashcards;yes;20.0;8.5;80.2;85.5;87.8;3.57
2025;male;undergraduate;engineering;daily;research/reading;yes;23.1;4.0;94.2;78.2;97.0;3.92
2023;female;phd;social sciences;rarely;concept explanation;yes;28.5;0.8;90.8;87.5;90.1;3.81
2023;female;undergraduate;arts humanities;weekly;coding help;yes;16.8;4.8;89.9;92.8;100.0;4.0
2025;male;undergraduate;engineering;daily;writing support;yes;19.3;5.7;90.0;82.1;100.0;3.85
2025;male;undergraduate;business;daily;coding help;yes;13.5;6.3;94.5;92.3;94.0;4.0
2023;male;undergraduate;health sciences;daily;concept explanation;yes;16.7;7.2;86.4;100.0;90.5;3.94
2025;male;masters;social sciences;rarely;research/reading;yes;22.6;0.7;87.7;86.5;83.5;3.79
2025;female;undergraduate;engineering;rarely;writing support;yes;9.7;5.0;87.5;88.0;69.6;3.17
2024;male;undergraduate;social sciences;weekly;translation;no;7.3;4.7;72.0;74.8;79.3;3.18
2023;female;phd;business;weekly;coding help;yes;29.0;2.2;89.7;94.1;94.9;3.96
2023;male;undergraduate;engineering;weekly;research/reading;yes;23.4;7.3;94.4;100.0;97.4;4.0
2024;female;undergraduate;health sciences;weekly;research/reading;yes;13.3;4.9;96.5;86.4;76.6;3.65
2023;male;undergraduate;arts humanities;weekly;studying/flashcards;no;22.9;5.8;87.29;84.7;81.1;3.34
2025;female;undergraduate;social sciences;daily;coding help;yes;20.3;6.5;97.7;93.8;97.0;4.0
2024;female;undergraduate;social sciences;weekly;coding help;yes;16.2;1.7;91.7;86.5;88.2;3.89
2025;male;masters;business;daily;other;yes;22.5;5.6;100.0;100.0;100.0;3.81
2023;male;masters;social sciences;weekly;other;no;27.3;1.2;95.9;100.0;99.0;4.0
2024;female;phd;arts humanities;weekly;coding help;yes;20.7;3.9;75.5;87.0;80.5;3.64
2025;nonbinary/other;masters;engineering;daily;writing support;no;19.4;9.1;96.5;94.9;89.6;3.98
2024;male;undergraduate;social sciences;daily;writing support;yes;18.4;8.2;89.7;99.6;96.6;3.99
2025;female;undergraduate;business;daily;translation;yes;12.0;7.2;80.4;88.1;85.1;3.72
2023;female;undergraduate;arts humanities;rarely;coding help;yes;24.3;2.3;92.5;86.4;100.0;4.0
2024;female;masters;engineering;weekly;coding help;yes;22.6;8.4;76.4;82.6;78.0;3.4
2023;female;undergraduate;business;weekly;concept explanation;yes;20.7;1.6;77.5;67.8;76.3;3.36
2025;female;undergraduate;engineering;weekly;writing support;yes;8.1;3.6;90.2;74.2;68.7;3.14
2024;male;undergraduate;engineering;weekly;writing support;no;14.3;3.5;85.3;81.7;88.8;3.75
2024;male;masters;health sciences;weekly;other;yes;18.65;5.3;92.3;86.4;93.2;3.95
2024;female;undergraduate;health sciences;daily;writing support;no;21.9;6.8;79.4;77.3;100.0;4.0
2023;female;masters;business;weekly;studying/flashcards;no;28.8;2.6;89.1;97.6;95.6;3.94
2023;female;undergraduate;business;weekly;concept explanation;no;12.5;5.2;82.6;72.3;82.1;3.69
2024;female;masters;computer science;daily;coding help;yes;26.5;7.4;97.6;85.7;100.0;4.0
2025;male;undergraduate;health sciences;weekly;translation;yes;18.65;2.1;88.8;99.1;100.0;4.0
2023;male;undergraduate;business;weekly;coding help;yes;18.3;2.6;93.9;93.6;88.7;3.74
2025;male;undergraduate;business;weekly;research/reading;yes;21.2;4.8;89.7;93.4;99.8;4.0
2025;male;undergraduate;arts humanities;weekly;concept explanation;yes;8.9;4.4;94.2;78.5;81.5;3.54
2023;male;undergraduate;computer science;rarely;translation;yes;19.5;1.7;72.9;95.3;81.7;3.79
2025;female;masters;business;daily;research/reading;yes;21.2;4.9;97.5;94.0;76.4;3.62
2023;male;undergraduate;engineering;weekly;concept explanation;no;20.1;2.1;87.29;73.2;94.8;3.92
2025;female;masters;arts humanities;weekly;concept explanation;yes;28.5;3.9;96.9;100.0;100.0;4.0
2025;male;undergraduate;social sciences;daily;concept explanation;no;13.6;6.3;95.5;90.0;88.7;3.88
2024;male;undergraduate;business;weekly;other;yes;24.8;3.8;87.0;75.6;100.0;4.0
2024;female;undergraduate;engineering;daily;writing support;yes;15.2;6.9;88.6;79.4;77.1;3.47
2024;male;undergraduate;engineering;daily;concept explanation;yes;11.2;7.5;87.9;79.2;73.7;3.53
2023;female;masters;engineering;weekly;studying/flashcards;no;19.5;3.9;78.7;95.1;80.1;3.54
2025;female;undergraduate;computer science;daily;coding help;yes;22.6;8.1;82.0;74.5;100.0;3.9
2025;female;undergraduate;computer science;daily;research/reading;no;10.1;7.9;77.8;93.0;77.5;3.33
2024;female;masters;health sciences;rarely;concept explanation;yes;28.5;1.1;86.3;83.9;93.9;3.89
2023;male;undergraduate;business;never;writing support;yes;30.8;3.0;99.1;97.2;100.0;4.0
2023;female;undergraduate;engineering;weekly;concept explanation;yes;27.6;6.3;89.9;100.0;100.0;4.0
2025;nonbinary/other;undergraduate;social sciences;daily;research/reading;yes;16.1;6.7;84.3;81.0;82.6;3.39
2023;male;undergraduate;business;weekly;concept explanation;yes;14.5;4.5;74.1;88.0;71.1;3.25
2024;male;undergraduate;education;weekly;concept explanation;no;11.7;3.7;85.7;80.6;86.5;3.6
2023;male;undergraduate;business;weekly;studying/flashcards;no;15.6;6.0;95.5;87.7;99.8;3.97
2025;female;undergraduate;business;weekly;translation;yes;20.0;2.5;76.8;74.3;74.4;3.38
2024;female;undergraduate;computer science;daily;studying/flashcards;yes;11.8;5.8;97.1;86.6;82.8;3.8
2023;male;undergraduate;arts humanities;weekly;concept explanation;yes;17.4;4.4;83.7;84.1;82.7;3.76
2023;female;undergraduate;social sciences;weekly;writing support;yes;18.1;3.7;84.7;84.5;72.5;3.42
2025;male;undergraduate;education;daily;other;yes;18.65;6.6;94.2;100.0;100.0;4.0
2023;male;undergraduate;business;daily;coding help;yes;21.7;6.6;88.3;92.1;80.8;3.7
2023;female;undergraduate;social sciences;weekly;studying/flashcards;yes;24.9;4.6;84.7;79.9;100.0;4.0
2025;male;undergraduate;education;daily;concept explanation;yes;24.0;5.2;80.2;76.8;93.8;3.75
2023;male;undergraduate;social sciences;weekly;writing support;yes;20.4;3.4;84.2;83.8;100.0;4.0
2023;female;undergraduate;engineering;rarely;research/reading;yes;22.4;4.9;90.8;82.3;100.0;4.0
2023;male;undergraduate;engineering;weekly;coding help;yes;18.6;3.6;93.1;79.4;100.0;4.0
2024;male;undergraduate;arts humanities;weekly;concept explanation;yes;11.3;3.6;76.8;80.1;62.6;2.96
2024;female;undergraduate;engineering;daily;other;no;18.1;7.7;87.6;91.3;94.0;4.0
2023;female;undergraduate;social sciences;rarely;writing support;no;20.0;1.1;83.6;87.5;93.9;3.93
2023;female;undergraduate;engineering;daily;studying/flashcards;yes;8.6;7.8;74.8;71.1;67.8;3.13
2024;female;masters;arts humanities;daily;concept explanation;yes;18.6;9.2;85.5;71.2;74.6;3.1
2025;female;masters;engineering;never;coding help;yes;14.5;0.0;97.1;80.6;84.6;3.53
2023;male;undergraduate;engineering;daily;translation;yes;24.6;6.5;87.7;96.5;93.8;3.97
2024;female;undergraduate;arts humanities;weekly;studying/flashcards;yes;19.6;6.1;84.5;70.2;97.9;3.78
2024;male;undergraduate;health sciences;daily;coding help;no;7.7;7.4;75.5;67.1;65.5;3.04
2024;female;undergraduate;computer science;weekly;writing support;yes;18.4;4.5;78.6;75.9;84.3;3.64
2025;male;undergraduate;education;daily;writing support;no;24.4;6.9;76.4;84.5;88.5;3.9
2024;female;undergraduate;computer science;daily;translation;yes;19.2;5.9;98.2;89.2;98.2;3.8
2025;male;undergraduate;engineering;daily;writing support;no;23.2;7.2;88.8;95.2;90.3;3.83
2025;female;undergraduate;business;daily;writing support;yes;16.1;7.9;89.3;87.6;83.5;3.64
2024;female;undergraduate;computer science;daily;studying/flashcards;yes;10.1;7.6;88.4;76.2;90.4;3.78
2024;female;undergraduate;computer science;weekly;coding help;yes;27.9;3.7;81.0;94.5;100.0;4.0
2023;female;undergraduate;social sciences;weekly;concept explanation;yes;14.5;3.5;77.7;67.4;80.4;3.42
2023;male;undergraduate;engineering;weekly;writing support;yes;18.5;4.0;86.4;77.9;79.3;3.59
2024;male;undergraduate;engineering;weekly;writing support;no;18.65;3.2;76.1;80.2;89.5;3.9
2024;female;undergraduate;health sciences;weekly;writing support;no;19.0;6.7;72.8;89.6;74.1;3.34
2023;female;undergraduate;business;rarely;coding help;yes;9.9;1.4;82.1;82.4;87.0;3.79
2024;female;undergraduate;education;daily;research/reading;yes;25.8;6.3;87.5;89.7;93.8;3.95
2023;female;undergraduate;computer science;rarely;coding help;no;12.2;4.5;92.7;82.7;75.1;3.44
2025;male;masters;computer science;rarely;writing support;no;15.6;1.8;79.6;79.0;100.0;4.0
2025;female;undergraduate;social sciences;weekly;writing support;yes;19.5;3.2;91.7;89.4;86.7;3.77
2023;male;undergraduate;social sciences;weekly;translation;no;26.3;0.9;91.9;93.5;88.7;3.85
2024;nonbinary/other;undergraduate;business;weekly;writing support;yes;19.9;2.7;96.4;84.3;100.0;4.0
2025;male;undergraduate;computer science;daily;coding help;yes;20.7;7.4;92.1;87.3;95.9;4.0
2023;female;undergraduate;engineering;daily;studying/flashcards;yes;19.3;7.5;87.29;87.8;73.5;3.36
2023;female;undergraduate;business;weekly;coding help;yes;19.4;2.1;95.0;79.8;97.3;3.88
2023;female;undergraduate;social sciences;weekly;other;yes;18.0;0.8;90.1;97.4;96.9;4.0
2023;female;undergraduate;business;weekly;studying/flashcards;no;10.1;4.8;87.4;87.7;84.2;3.65
2023;female;masters;engineering;weekly;coding help;no;22.0;6.8;99.9;86.7;100.0;3.76
2023;nonbinary/other;undergraduate;arts humanities;rarely;writing support;yes;22.1;0.0;90.9;90.4;87.7;3.71
2023;male;masters;health sciences;rarely;coding help;yes;26.7;0.0;89.7;98.2;94.7;3.95
2023;female;undergraduate;business;weekly;research/reading;yes;17.5;2.6;95.6;79.7;93.3;3.87
2023;female;undergraduate;engineering;rarely;writing support;yes;6.9;4.0;94.1;75.3;75.2;3.35
2023;female;undergraduate;social sciences;weekly;coding help;yes;30.6;3.0;83.9;100.0;92.6;3.99
2025;female;undergraduate;computer science;weekly;coding help;yes;16.6;3.7;85.8;81.6;78.8;3.34
2023;female;phd;arts humanities;never;writing support;no;18.89;1.0;77.6;91.1;100.0;4.0
2025;female;undergraduate;arts humanities;daily;studying/flashcards;no;29.3;7.1;80.4;80.0;100.0;3.99
2023;female;undergraduate;engineering;weekly;writing support;no;24.4;3.4;82.6;91.2;91.2;3.96
2024;female;undergraduate;health sciences;weekly;coding help;yes;20.6;3.3;84.5;88.5;82.5;3.72
2025;male;masters;computer science;daily;writing support;yes;24.8;10.3;90.4;94.5;97.0;4.0
2025;nonbinary/other;undergraduate;business;weekly;research/reading;yes;23.4;2.0;100.0;100.0;100.0;4.0
2023;female;masters;arts humanities;weekly;other;yes;22.1;0.0;83.8;90.5;81.0;3.78
2023;male;undergraduate;computer science;weekly;concept explanation;yes;23.7;3.8;87.8;80.4;93.4;3.75
2023;male;undergraduate;social sciences;never;coding help;yes;21.0;0.0;89.1;95.2;99.8;4.0
